epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,119131,1.29792,0.64173,0.94167,0.56094,0.54304,0.50087,0.26836,1.03919,8.43572,0.71858,0.0007928,0.0007928,0.0007928
123,120101,1.29683,0.63971,0.94177,0.55962,0.54315,0.49929,0.26715,1.0399,8.43591,0.71904,0.000789628,0.000789628,0.000789628
124,121080,1.31166,0.65106,0.95077,0.56131,0.54348,0.49908,0.26714,1.03987,8.40951,0.71904,0.000786438,0.000786438,0.000786438
125,122050,1.30849,0.649,0.94692,0.5616,0.54337,0.4986,0.26686,1.04014,8.3938,0.71905,0.000783231,0.000783231,0.000783231
126,123025,1.30365,0.64791,0.93929,0.56009,0.54492,0.49942,0.26701,1.04133,8.33782,0.71957,0.000780007,0.000780007,0.000780007
127,124001,1.3027,0.64401,0.94234,0.55891,0.5457,0.49903,0.26684,1.04179,8.30978,0.71975,0.000776766,0.000776766,0.000776766
128,124978,1.28923,0.64497,0.93717,0.55744,0.54617,0.49967,0.26696,1.04178,8.27847,0.71976,0.000773509,0.000773509,0.000773509
129,125953,1.29234,0.63764,0.93462,0.55909,0.54625,0.49915,0.26698,1.04235,8.24944,0.72012,0.000770234,0.000770234,0.000770234
130,126927,1.28113,0.63771,0.94069,0.56106,0.54547,0.49957,0.26734,1.04252,8.22949,0.72034,0.000766944,0.000766944,0.000766944
131,127903,1.27753,0.62988,0.92892,0.56142,0.54691,0.50085,0.26785,1.04294,8.24332,0.72062,0.000763637,0.000763637,0.000763637
132,128879,1.28545,0.63127,0.94421,0.56176,0.54803,0.50152,0.26828,1.04364,8.21801,0.72095,0.000760314,0.000760314,0.000760314
133,129856,1.28213,0.63284,0.93867,0.56314,0.54824,0.50209,0.26897,1.04375,8.1762,0.72093,0.000756976,0.000756976,0.000756976
134,130831,1.28778,0.63949,0.94143,0.56434,0.54702,0.50301,0.26974,1.04369,8.13947,0.7209,0.000753621,0.000753621,0.000753621
135,131805,1.26905,0.6248,0.93652,0.56262,0.54691,0.50291,0.2699,1.04358,8.11794,0.7208,0.000750252,0.000750252,0.000750252
136,132782,1.28158,0.63281,0.94121,0.56428,0.54394,0.50316,0.27047,1.04374,8.11093,0.72049,0.000746868,0.000746868,0.000746868
