epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,105037,1.34784,0.66561,0.9798,0.51934,0.54214,0.44286,0.15267,1.33216,9.97873,0.86176,0.000903166,0.000903166,0.000903166
83,106319,1.35952,0.66519,0.96858,0.52015,0.54072,0.44313,0.15266,1.3329,9.94861,0.86206,0.000900844,0.000900844,0.000900844
84,107597,1.35354,0.66586,0.97233,0.52172,0.54083,0.44405,0.15307,1.33301,9.95677,0.86205,0.000898497,0.000898497,0.000898497
85,108879,1.35548,0.68636,0.96815,0.521,0.5416,0.44473,0.15336,1.33328,9.9166,0.86197,0.000896127,0.000896127,0.000896127
86,110158,1.33388,0.67566,0.96952,0.5226,0.54105,0.44691,0.15411,1.33341,9.87408,0.86186,0.000893732,0.000893732,0.000893732
87,111437,1.32603,0.65217,0.96228,0.52392,0.54209,0.44774,0.15451,1.33401,9.8479,0.8619,0.000891313,0.000891313,0.000891313
88,112711,1.33531,0.65394,0.96136,0.52634,0.53994,0.44907,0.15533,1.33368,9.79697,0.86163,0.00088887,0.00088887,0.00088887
89,113987,1.3483,0.66318,0.9744,0.52564,0.54154,0.44991,0.15582,1.33446,9.77169,0.8616,0.000886404,0.000886404,0.000886404
90,115267,1.33097,0.65652,0.96989,0.52796,0.54182,0.45175,0.15676,1.33353,9.73207,0.86109,0.000883914,0.000883914,0.000883914
91,116541,1.33274,0.65711,0.96445,0.52796,0.54193,0.45271,0.15732,1.33307,9.71097,0.86093,0.000881401,0.000881401,0.000881401
92,117818,1.33131,0.66658,0.95559,0.52982,0.5416,0.45326,0.15759,1.33447,9.64884,0.86147,0.000878864,0.000878864,0.000878864
93,119094,1.34518,0.66517,0.96822,0.5309,0.53994,0.45309,0.15793,1.33472,9.58994,0.86108,0.000876305,0.000876305,0.000876305
94,120369,1.3231,0.64999,0.9597,0.53057,0.54227,0.45449,0.1584,1.3362,9.57104,0.86145,0.000873723,0.000873723,0.000873723
95,121646,1.34197,0.64829,0.96805,0.52981,0.54105,0.45438,0.15884,1.33653,9.54059,0.86122,0.000871117,0.000871117,0.000871117
96,122923,1.31822,0.64254,0.96224,0.5312,0.54261,0.45583,0.15956,1.33556,9.5163,0.86065,0.00086849,0.00086849,0.00086849
97,124197,1.30716,0.63735,0.95875,0.53255,0.54072,0.45639,0.15993,1.33487,9.47713,0.86043,0.000865839,0.000865839,0.000865839
98,125474,1.33397,0.65097,0.96505,0.53246,0.54347,0.45752,0.1602,1.33456,9.45121,0.86022,0.000863167,0.000863167,0.000863167
99,126752,1.32277,0.64934,0.95742,0.53424,0.54216,0.45836,0.16069,1.3334,9.43491,0.8594,0.000860473,0.000860473,0.000860473
100,128029,1.32214,0.63054,0.96125,0.53619,0.54235,0.45946,0.16141,1.33213,9.40725,0.85901,0.000857756,0.000857756,0.000857756
101,129303,1.31242,0.64189,0.95708,0.53614,0.54261,0.4601,0.16195,1.32942,9.3562,0.8579,0.000855018,0.000855018,0.000855018
102,130581,1.32117,0.64318,0.96474,0.53758,0.5423,0.46165,0.16254,1.32861,9.30014,0.85758,0.000852258,0.000852258,0.000852258
103,131858,1.32073,0.64599,0.96606,0.53869,0.54315,0.46239,0.16274,1.32823,9.26909,0.8575,0.000849477,0.000849477,0.000849477
104,133135,1.30676,0.63554,0.9565,0.53917,0.54227,0.46328,0.16317,1.32795,9.22108,0.85738,0.000846674,0.000846674,0.000846674
105,134412,1.31571,0.62803,0.95516,0.53884,0.54337,0.46393,0.16352,1.32819,9.17655,0.85758,0.000843851,0.000843851,0.000843851
106,135686,1.30057,0.63849,0.96022,0.54385,0.53983,0.4638,0.16329,1.32957,9.1452,0.85828,0.000841006,0.000841006,0.000841006
107,136956,1.2905,0.61625,0.94599,0.54378,0.54149,0.46421,0.16356,1.32876,9.16887,0.85825,0.000838141,0.000838141,0.000838141
108,138235,1.30781,0.63111,0.95758,0.54439,0.54204,0.465,0.16403,1.32804,9.15086,0.85801,0.000835255,0.000835255,0.000835255
109,139510,1.30687,0.63111,0.96074,0.54537,0.54205,0.46736,0.16459,1.32675,9.11139,0.85765,0.000832349,0.000832349,0.000832349
